;time;mean;std;seconds
0;00:00:00;156.5691169191169;95.76283460823782;0
1;00:10:00;168.63488706097402;143.60276919234013;600
2;00:20:00;160.34573696145125;101.3114552081142;1200
3;00:30:00;136.42467066983198;102.5830086944409;1800
4;00:40:00;125.77633219954649;94.88133324941452;2400
5;00:50:00;139.84318310657596;95.52406427905984;3000
6;01:00:00;174.92951535643846;114.04859863475444;3600
7;01:10:00;138.81981646825398;110.35911842160674;4200
8;01:20:00;144.36256157635466;113.05372973131645;4800
9;01:30:00;141.85466269841268;132.06497644265698;5400
10;01:40:00;169.15178571428572;127.73117115712391;6000
11;01:50:00;149.64444444444445;152.7083329543732;6600
12;02:00:00;147.37083333333334;111.19969943412512;7200
13;02:10:00;104.64761904761905;115.34776815806893;7800
14;02:20:00;109.89848484848486;68.00362753990304;8400
15;02:30:00;95.57692307692308;79.3929693974447;9000
16;02:40:00;169.47916666666666;173.80116834309325;9600
17;02:50:00;119.22727272727273;124.94265957557563;10200
18;03:00:00;121.87878787878789;150.80592920315925;10800
19;03:10:00;77.42857142857143;113.60876894391727;11400
20;03:20:00;156.55555555555554;184.0455861404391;12000
21;03:30:00;176.13636363636363;179.43440178921807;12600
22;03:40:00;305.14285714285717;238.9814696940808;13200
23;03:50:00;316.5;284.46309075168256;13800
24;04:00:00;145.4;210.16493522945257;14400
25;04:10:00;159.5;161.26272559604922;15000
26;04:20:00;190.54545454545453;169.5183551338106;15600
27;04:30:00;276.03333333333336;183.07282573830975;16200
28;04:40:00;378.88888888888886;147.60794046000868;16800
29;04:50:00;375.828125;138.44066625221302;17400
30;05:00:00;407.8153153153153;107.52307413708256;18000
31;05:10:00;394.54166666666663;133.5450242234133;18600
32;05:20:00;420.8209219858156;129.01256854980235;19200
33;05:30:00;448.5430817610063;100.55609542581652;19800
34;05:40:00;471.97932098765426;75.14089190738393;20400
35;05:50:00;453.41011904761905;95.7962546282142;21000
36;06:00:00;467.09896565183453;61.2219312000043;21600
37;06:10:00;467.29687743950035;70.37569323513597;22200
38;06:20:00;437.58490566037733;129.7069207120418;22800
39;06:30:00;471.9985380116959;86.08240170753324;23400
40;06:40:00;467.04742604617604;64.39478276419243;24000
41;06:50:00;410.099358974359;128.06570919274498;24600
42;07:00:00;383.85228758169933;147.54543202461056;25200
43;07:10:00;395.1340413943355;144.20233511110283;25800
44;07:20:00;401.86348443223443;154.7267506677859;26400
45;07:30:00;439.10057720057716;106.11657649815952;27000
46;07:40:00;423.71614295666024;114.66095768695932;27600
47;07:50:00;436.7729034323993;99.57241450620188;28200
48;08:00:00;391.4231785080388;139.24936041153546;28800
49;08:10:00;394.5976899705103;120.1990197329071;29400
50;08:20:00;346.57858333350526;156.10023327705852;30000
51;08:30:00;317.7547898999866;141.25090890997805;30600
52;08:40:00;335.9435830601113;100.48708502309135;31200
53;08:50:00;307.11877991264214;129.87522158501616;31800
54;09:00:00;317.27865537965477;113.98116665486077;32400
55;09:10:00;268.21750807480316;101.9075241719403;33000
56;09:20:00;253.70987521571035;84.01488138313312;33600
57;09:30:00;225.63124317016195;65.48601123528688;34200
58;09:40:00;198.94614955027606;52.36670829500391;34800
59;09:50:00;188.99223798056556;54.4886403157352;35400
60;10:00:00;195.93349425985605;72.69944747729362;36000
61;10:10:00;191.31061112829943;59.31382690491803;36600
62;10:20:00;188.45428981384373;47.35114570629037;37200
63;10:30:00;188.59713812864834;41.96243560298805;37800
64;10:40:00;187.757975027994;33.504506643015695;38400
65;10:50:00;181.86229985328725;40.5439622972549;39000
66;11:00:00;193.36089966171517;47.44320532569973;39600
67;11:10:00;181.00483453462485;44.900338117014044;40200
68;11:20:00;187.84456129138513;36.08218001081606;40800
69;11:30:00;189.79966403755427;35.539738436756146;41400
70;11:40:00;178.1354953181761;37.80315865983513;42000
71;11:50:00;183.9696588552824;36.93831048233541;42600
72;12:00:00;175.4891340739151;30.421315182963532;43200
73;12:10:00;179.53628895810832;28.030845078882617;43800
74;12:20:00;173.60809933363626;26.29772007559469;44400
75;12:30:00;175.59522486870932;28.56850543930021;45000
76;12:40:00;174.61859963477414;23.88012410017708;45600
77;12:50:00;172.94846301547756;23.631723650507112;46200
78;13:00:00;171.19396181626388;25.244633438662863;46800
79;13:10:00;170.71749852312172;30.39926586870741;47400
80;13:20:00;170.7376673818296;24.54350496989019;48000
81;13:30:00;167.09590464603684;28.303703045124806;48600
82;13:40:00;177.61792318356316;31.792461833707215;49200
83;13:50:00;178.7970468753193;31.931093292454648;49800
84;14:00:00;187.61113044484372;31.042058474765184;50400
85;14:10:00;188.92887051546623;33.69627963443829;51000
86;14:20:00;173.87675038111283;31.348887769571554;51600
87;14:30:00;171.29909850710897;30.118682579522407;52200
88;14:40:00;178.19958980128297;39.085159096191944;52800
89;14:50:00;177.20029745260337;41.29679603115583;53400
90;15:00:00;186.36908025748016;40.42070043926328;54000
91;15:10:00;189.62622695614576;38.642584553241925;54600
92;15:20:00;187.96317718343275;36.17246883567747;55200
93;15:30:00;191.08152967921876;45.56524915495872;55800
94;15:40:00;184.6065730193701;37.09947839139875;56400
95;15:50:00;181.07130297127807;36.47491223024352;57000
96;16:00:00;186.0027403419091;45.69129086097006;57600
97;16:10:00;187.25252424265045;40.9520027889878;58200
98;16:20:00;190.14846346934593;32.018512670232724;58800
99;16:30:00;195.19872761736974;40.21098606174109;59400
100;16:40:00;185.93934422046965;41.26750830369685;60000
101;16:50:00;187.82423114794622;28.784037914896537;60600
102;17:00:00;188.3634986921001;30.670550267981834;61200
